ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
1 	Shalban Vihara 		Comilla 	Sadar 	DofA
2 	Laticot Mura 		Comilla 	Sadar 	DofA
3 	Corneller Mura 		Comilla 	Sadar 	DofA
4 	Ananda Vihara 		Comilla 	Sadar 	DofA
5 	Kotila Mura 		Comilla 	Sadar 	DofA
6 	Charpatra Mura 		Comilla 	Sadar 	DofA
7 	Rupban Mura 		Comilla 	Sadar 	DofA
8 	Itakhola Mura 		Comilla 	Sadar 	DofA
9 	Bairagir Mura 		Comilla 	Sadar 	DofA
10 	Balagajir Mura 		Comilla 	Sadar 	DofA
11 	Chandi Mura 		Comilla 	Sadar 	DofA
12 	Chila Mura 		Comilla 	Sadar 	DofA
13 	Hatigara Mura 		Comilla 	Sadar 	DofA
14 	Pacca Mura 		Comilla 	Sadar 	DofA
15 	Ujirpur Mound 		Comilla 	Sadar 	DofA
16 	Rupban Kannyar (Rupbani) Mura 		Comilla 	Sadar 	DofA
17 	Kotbari Mura 		Comilla 	Sadar 	DofA
18 	Bhoj Rajar palace 		Comilla 	Sadar 	DofA
19 	Palace & Temple of Queen Mainamati 		Comilla 	Sadar 	DofA
20 	Mainamati Mound-1 		Comilla 	Sadar 	DofA
21 	Mainamati Mound-1A 		Comilla 	Sadar 	DofA
22 	Mainamati Mound-1B 		Comilla 	Kotowali 	DofA
23 	Mainamati Mound-2A 		Comilla 	Kotowali 	DofA
24 	Mainamati Mound-2B 		Comilla 	Kotowali 	DofA
25 	Satara Ratna Temple 		Comilla 	Kotowali 	DofA
26 	Chitodda Mosque 		Comilla 	Barura 	DofA
27 	Arjuntala Mosque 		Comilla 	Barura 	DofA
28 	Math of Sattaya Ram Majumdar 		Chandpur 	Haziganj 	DofA
29 	Bakhtiar Khar Mosque 		Chandpur 	Kochua 	DofA
30 	Bara Sharifpur Mosque 		Chandpur 	Laksam 	DofA
31 	Jatra Monir Math 		Chandpur 	Kachua 	DofA
32 	Alipur Shahi Mosque 		Chandpur 	Haziganj 	DofA
33 	Bajra Shahi Mosque 	Yes 	Noakhali 	Begamganj 	DofA
34 	Gandhi Ashram 	Yes 	Noakhali 		Sazz
35 	Kamankhola Zominder Bari 		Laxipur 		Sazz
36 	Tita Khan Masjid 	Yes 	Laxipur 		Sazz
37 	Motka Masjid 	Yes 	Laxipur 	Sadar 	Sazz
38 	Dalal Zominder Bari 	Yes 	Laxipur 	Dalalbazar 	Sazz
39 	Khoya Sagor 	Yes 	Laxipur 	Dalalbazar 	Sazz
40 	Zeener Masjid 	Yes 	Laxipur 	Raypur 	Sazz
