1	Nasrat Gazi Mosque 	None	None	Barisal	Bakerganj	BABS0010	DofA
2	Joint Mosque at Bhatikhana	None	None	Barisal			Sazz
3	Sujabad Kella	None	None	Barisal			Sazz
4	Sangram Kella	None	None	Barisal			Sazz
5	Girja Mahalla	None	None	Barisal			Sazz
6	Ebadullah Mosque	None	None	Barisal			Sazz
7	Kashba Mosque (One domed?)	None	None	Barisal	Gaurnadi	BABS0020	DofA
8	Kamalapur Mosque 	None	None	Barisal	Gaurnadi	BABS0040	DofA
9	Karapur Mia Bari Mosque 	None	None	Barisal	Barisal	BABS0050	DofA
10	Bibi Chini Mosque 	None	None	Barguna	Betagi	BABG0510	DofA
11	Shrirampur Mosque 	None	None	Patuakhali	Sadar	BAPT0110	DofA
12	Late Amirullah Munshibari Jami Mosque 	None	None	Patuakhali	Dosmina	BAPT0120	DofA
13	Kachichira Jami Mosque 	None	None	Patuakhali	Patuakhali	BAPT0130	DofA
14	Double Roofed Grave	None	None	Patuakhali	Patuakhali	BAPT0140	DofA
15	Ancient Bridge	None	None	Patuakhali	Patuakhali	BAPT0150	DofA
16	Galua Pucca Mosque 	None	None	Jhalakathi	Rajapur	BAPR0210	DofA
17	Mothbaria Momin Mosque 	None	None	Pirojpur	Mothbaria	BAJK0310	DofA
18	Mansa Temple at Goila	None	None	Barisal			Sazz
19	Charkella	None	None	Barisal			Sazz
20	Khanbari Old Jame Mosque Complex 	None	None	Jhalakathi	Rajapur	BAJK0320	DofA
21	Ancient Jami Mosque	None	None	Jhalakathi	Rajapur	None	DofA
22	Collectorate Bhaban	None	None	Barisal	None	None	DofA
23	Dahar Shankar Howladerbari Jami Mosque Complex	None	None	Jhalakathi	Rajapur	None	DofA
24	Sikder Bari Jami Mosque	None	None	Patuakhali	None	None	DofA
25	Mosjid Baria Mosque	None	None	Patuakhali	Mirajganj	None	DofA
26	Shalban Vihara	None	None	Comilla	Sadar	None	DofA
27	Laticot Mura	None	None	Comilla	Sadar	None	DofA
28	Corneller Mura	None	None	Comilla	Sadar	None	DofA
29	Ananda Vihara	None	None	Comilla	Sadar	None	DofA
30	Kotila Mura	None	None	Comilla	Sadar	None	DofA
31	Charpatra Mura	None	None	Comilla	Sadar	None	DofA
32	Rupban Mura	None	None	Comilla	Sadar	None	DofA
33	Itakhola Mura	None	None	Comilla	Sadar	None	DofA
34	Bairagir Mura	None	None	Comilla	Sadar	None	DofA
35	Balagajir Mura	None	None	Comilla	Sadar	None	DofA
36	Chandi Mura	None	None	Comilla	Sadar	None	DofA
37	Chila Mura	None	None	Comilla	Sadar	None	DofA
38	Hatigara Mura	None	None	Comilla	Sadar	None	DofA
39	Pacca Mura	None	None	Comilla	Sadar	None	DofA
40	Ujirpur Mound	None	None	Comilla	Sadar	None	DofA
41	Rupban Kannyar (Rupbani) Mura	None	None	Comilla	Sadar	None	DofA
